timestamp,open,high,low,close,volume
2025-03-14 00:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 01:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 02:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 03:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 04:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 05:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 06:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 07:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 08:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 09:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 10:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 11:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 12:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 13:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 14:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 15:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 16:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 17:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 18:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 19:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 20:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 21:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 22:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-14 23:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 00:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 01:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 02:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 03:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 04:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 05:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 06:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 07:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 08:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 09:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 10:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 11:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 12:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 13:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 14:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 15:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 16:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 17:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 18:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 19:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 20:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 21:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 22:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-15 23:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-16 00:00:00+00:00,0.84,0.84,0.84,0.84,0.0
2025-03-16 01:00:00+00:00,1.002,1.002,1.002,1.002,1.43
2025-03-16 02:00:00+00:00,1.003,1.003,1.003,1.003,1.43
2025-03-16 03:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 04:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 05:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 06:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 07:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 08:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 09:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 10:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 11:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 12:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 13:00:00+00:00,1.003,1.003,1.003,1.003,0.0
2025-03-16 14:00:00+00:00,0.841,0.841,0.841,0.841,10.0
2025-03-16 15:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 16:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 17:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 18:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 19:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 20:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 21:00:00+00:00,0.841,0.841,0.841,0.841,0.0
2025-03-16 22:00:00+00:00,0.844,0.844,0.844,0.844,3.05
2025-03-16 23:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 00:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 01:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 02:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 03:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 04:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 05:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 06:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 07:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 08:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 09:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 10:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 11:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 12:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 13:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 14:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 15:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 16:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 17:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 18:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 19:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 20:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 21:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 22:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-17 23:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 00:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 01:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 02:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 03:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 04:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 05:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 06:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 07:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 08:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 09:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 10:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 11:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 12:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 13:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 14:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 15:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 16:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 17:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 18:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 19:00:00+00:00,0.844,0.844,0.844,0.844,0.0
2025-03-18 20:00:00+00:00,0.844,0.844,0.844,0.844,0.0
