timestamp,open,high,low,close,volume
2025-03-14 00:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 01:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 02:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 03:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 04:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 05:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 06:00:00+00:00,0.212,0.212,0.212,0.212,0.0
2025-03-14 07:00:00+00:00,0.2212,0.2212,0.2211,0.2211,1312.0
2025-03-14 08:00:00+00:00,0.2211,0.2211,0.2211,0.2211,0.0
2025-03-14 09:00:00+00:00,0.2515,0.2801,0.2515,0.2801,199.6
2025-03-14 10:00:00+00:00,0.2801,0.2801,0.2801,0.2801,0.0
2025-03-14 11:00:00+00:00,0.2801,0.2801,0.2801,0.2801,0.0
2025-03-14 12:00:00+00:00,0.2924,0.2924,0.2924,0.2924,40.4
2025-03-14 13:00:00+00:00,0.3079,0.3079,0.3079,0.3079,8.8
2025-03-14 14:00:00+00:00,0.3072,0.3072,0.3072,0.3072,9.7
2025-03-14 15:00:00+00:00,0.3072,0.3072,0.3072,0.3072,0.0
2025-03-14 16:00:00+00:00,0.3072,0.3072,0.3072,0.3072,0.0
2025-03-14 17:00:00+00:00,0.3072,0.3072,0.3072,0.3072,0.0
2025-03-14 18:00:00+00:00,0.3072,0.3072,0.3072,0.3072,0.0
2025-03-14 19:00:00+00:00,0.3013,0.3013,0.3013,0.3013,6.5
2025-03-14 20:00:00+00:00,0.3086,0.3261,0.3086,0.3261,806.9
2025-03-14 21:00:00+00:00,0.3261,0.3261,0.3261,0.3261,0.0
2025-03-14 22:00:00+00:00,0.3261,0.3261,0.3261,0.3261,0.0
2025-03-14 23:00:00+00:00,0.3261,0.3261,0.3261,0.3261,0.0
2025-03-15 00:00:00+00:00,0.301,0.301,0.301,0.301,83.9
2025-03-15 01:00:00+00:00,0.301,0.301,0.301,0.301,4.5
2025-03-15 02:00:00+00:00,0.3188,0.3188,0.3188,0.3188,7.5
2025-03-15 03:00:00+00:00,0.313,0.313,0.313,0.313,12.7
2025-03-15 04:00:00+00:00,0.313,0.313,0.313,0.313,0.0
2025-03-15 05:00:00+00:00,0.301,0.301,0.301,0.301,90.3
2025-03-15 06:00:00+00:00,0.3093,0.3094,0.3093,0.3094,389.1
2025-03-15 07:00:00+00:00,0.3034,0.3035,0.3034,0.3035,411.8
2025-03-15 08:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 09:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 10:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 11:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 12:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 13:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 14:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 15:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 16:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 17:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 18:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 19:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 20:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 21:00:00+00:00,0.3035,0.3035,0.3035,0.3035,0.0
2025-03-15 22:00:00+00:00,0.309,0.309,0.309,0.309,8.4
2025-03-15 23:00:00+00:00,0.309,0.309,0.309,0.309,0.0
2025-03-16 00:00:00+00:00,0.309,0.309,0.309,0.309,0.0
2025-03-16 01:00:00+00:00,0.3139,0.3139,0.3139,0.3139,3.8
2025-03-16 02:00:00+00:00,0.3138,0.3138,0.3138,0.3138,3.8
2025-03-16 03:00:00+00:00,0.309,0.309,0.289,0.289,8.3
2025-03-16 04:00:00+00:00,0.289,0.289,0.289,0.289,0.0
2025-03-16 05:00:00+00:00,0.289,0.289,0.289,0.289,0.0
2025-03-16 06:00:00+00:00,0.289,0.289,0.289,0.289,0.0
2025-03-16 07:00:00+00:00,0.289,0.289,0.289,0.289,0.0
2025-03-16 08:00:00+00:00,0.2919,0.2919,0.2891,0.2891,32.2
2025-03-16 09:00:00+00:00,0.2893,0.2893,0.2893,0.2893,53.2
2025-03-16 10:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 11:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 12:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 13:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 14:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 15:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 16:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 17:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 18:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 19:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 20:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 21:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 22:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-16 23:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 00:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 01:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 02:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 03:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 04:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 05:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 06:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 07:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 08:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 09:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 10:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 11:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 12:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 13:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 14:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 15:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 16:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 17:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 18:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 19:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 20:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 21:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 22:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-17 23:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 00:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 01:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 02:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 03:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 04:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 05:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 06:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 07:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 08:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 09:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 10:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 11:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 12:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 13:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 14:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 15:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 16:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 17:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 18:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 19:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 20:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 21:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 22:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-18 23:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
2025-03-19 00:00:00+00:00,0.2893,0.2893,0.2893,0.2893,0.0
